jobTitle,jobCompany,jobLocation,jobSubClassification,jobClassification,jobSalary
"('Assistant Project Management Manager', 'Assistant Project Management Manager', 'Assistant Project Management Manager', 'Assistant Project Management Manager', 'Assistant Project Management Manager', 'Assistant Project Management Manager', 'Assistant Project Management Manager', 'Assistant Project Management Manager')","('Chong Hei Group Holding Limited', 'Chong Hei Group Holding Limited', 'Chong Hei Group Holding Limited', 'Chong Hei Group Holding Limited', 'Chong Hei Group Holding Limited', 'Chong Hei Group Holding Limited', 'Chong Hei Group Holding Limited', 'Chong Hei Group Holding Limited')","('Lai Chi Kok', 'Sham Shui Po District')",Programme & Project Management,(Information & Communication Technology),
,,"('Lai Chi Kok', 'Sham Shui Po District')",Programme & Project Management,(Information & Communication Technology),
"('System Analyst', 'System Analyst', 'System Analyst', 'System Analyst', 'System Analyst', 'System Analyst', 'System Analyst', 'System Analyst')","('Top Pine Technology Ltd', 'Top Pine Technology Ltd', 'Top Pine Technology Ltd', 'Top Pine Technology Ltd', 'Top Pine Technology Ltd', 'Top Pine Technology Ltd', 'Top Pine Technology Ltd', 'Top Pine Technology Ltd')","('Ngau Tau Kok', 'Kwun Tong District')",Engineering - Software,(Information & Communication Technology),
,,"('Ngau Tau Kok', 'Kwun Tong District')",Engineering - Software,(Information & Communication Technology),
"('Enterprise Test Analyst (NFT) at Optimum Solutions (Hong Kong) Limited', 'Enterprise Test Analyst (NFT) at Optimum Solutions (Hong Kong) Limited', 'Enterprise Test Analyst (NFT) at Optimum Solutions (Hong Kong) Limited', 'Enterprise Test Analyst (NFT) at Optimum Solutions (Hong Kong) Limited', 'Enterprise Test Analyst (NFT) at Optimum Solutions (Hong Kong) Limited', 'Enterprise Test Analyst (NFT) at Optimum Solutions (Hong Kong) Limited', 'Enterprise Test Analyst (NFT) at Optimum Solutions (Hong Kong) Limited', 'Enterprise Test Analyst (NFT) at Optimum Solutions (Hong Kong) Limited')","('Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire')","('Airport Area', 'Islands District')",Testing & Quality Assurance,(Information & Communication Technology),
,,"('Airport Area', 'Islands District')",Testing & Quality Assurance,(Information & Communication Technology),
,,,Testing & Quality Assurance,(Information & Communication Technology),
"('Analyst - Customer Service', 'Analyst - Customer Service', 'Analyst - Customer Service', 'Analyst - Customer Service', 'Analyst - Customer Service', 'Analyst - Customer Service', 'Analyst - Customer Service', 'Analyst - Customer Service')","('Sinopec (Hong Kong) Limited', 'Sinopec (Hong Kong) Limited', 'Sinopec (Hong Kong) Limited', 'Sinopec (Hong Kong) Limited', 'Sinopec (Hong Kong) Limited', 'Sinopec (Hong Kong) Limited', 'Sinopec (Hong Kong) Limited', 'Sinopec (Hong Kong) Limited')","('Wan Chai', 'Wan Chai District')",Database Development & Administration,(Information & Communication Technology),
,,"('Wan Chai', 'Wan Chai District')",Database Development & Administration,(Information & Communication Technology),
,,,Database Development & Administration,(Information & Communication Technology),
"('Business Analyst', 'Business Analyst', 'Business Analyst', 'Business Analyst', 'Business Analyst', 'Business Analyst', 'Business Analyst', 'Business Analyst')","('The Dairy Farm Company, Limited 牛奶有限公司', 'The Dairy Farm Company, Limited 牛奶有限公司', 'The Dairy Farm Company, Limited 牛奶有限公司', 'The Dairy Farm Company, Limited 牛奶有限公司', 'The Dairy Farm Company, Limited 牛奶有限公司', 'The Dairy Farm Company, Limited 牛奶有限公司', 'The Dairy Farm Company, Limited 牛奶有限公司', 'The Dairy Farm Company, Limited 牛奶有限公司')","('Quarry Bay', 'Eastern District')",Business/Systems Analysts,(Information & Communication Technology),
,,"('Quarry Bay', 'Eastern District')",Business/Systems Analysts,(Information & Communication Technology),
"('Asia Polyolefins BDA Manager', 'Asia Polyolefins BDA Manager', 'Asia Polyolefins BDA Manager', 'Asia Polyolefins BDA Manager', 'Asia Polyolefins BDA Manager', 'Asia Polyolefins BDA Manager', 'Asia Polyolefins BDA Manager', 'Asia Polyolefins BDA Manager')","('Basell Asia Pacific Limited', 'Basell Asia Pacific Limited', 'Basell Asia Pacific Limited', 'Basell Asia Pacific Limited', 'Basell Asia Pacific Limited', 'Basell Asia Pacific Limited', 'Basell Asia Pacific Limited', 'Basell Asia Pacific Limited')","('Quarry Bay', 'Eastern District')",Market Research & Analysis,(Marketing & Communications),
,,"('Quarry Bay', 'Eastern District')",Market Research & Analysis,(Marketing & Communications),
